class_index,intensity
0,100.0
0,99.93
0,99.85
0,99.78
0,99.7
0,99.63
0,99.56
0,99.48
0,99.41
0,99.33
0,99.26
0,99.18
0,99.11
0,99.04
0,98.96
0,98.89
0,98.81
0,98.74
0,98.67
0,98.59
0,98.52
0,98.44
0,98.37
0,98.3
0,98.22
0,98.15
0,98.07
0,98.0
0,97.92
0,97.85
0,97.78
0,97.7
0,97.63
0,97.55
0,97.48
0,97.41
0,97.33
0,97.26
0,97.18
0,97.11
0,97.03
0,96.96
0,96.89
0,96.81
0,96.74
0,96.66
0,96.59
0,96.52
0,96.44
0,96.37
0,96.29
0,96.22
0,96.15
0,96.07
0,96.0
0,95.92
0,95.85
0,95.77
0,95.7
0,95.63
0,95.55
0,95.48
0,95.4
0,95.33
0,95.26
0,95.18
0,95.11
0,95.03
0,94.96
0,94.89
0,94.81
0,94.74
0,94.66
0,94.59
0,94.51
0,94.44
0,94.37
0,94.29
0,94.22
0,94.14
0,94.07
0,94.0
0,93.92
0,93.85
0,93.77
0,93.7
0,93.62
0,93.55
0,93.48
0,93.4
0,93.33
0,93.25
0,93.18
0,93.11
0,93.03
0,92.96
0,92.88
0,92.81
0,92.74
0,92.66
0,92.59
0,92.51
0,92.44
0,92.36
0,92.29
0,92.22
0,92.14
0,92.07
0,91.99
0,91.92
0,91.85
0,91.77
0,91.7
0,91.62
0,91.55
0,91.48
0,91.4
0,91.33
0,91.25
0,91.18
0,91.1
0,91.03
0,90.96
0,90.88
0,90.81
0,90.73
0,90.66
0,90.59
0,90.51
0,90.44
0,90.36
0,90.29
0,90.21
0,90.14
0,90.07
0,89.99
0,89.92
0,89.84
0,89.77
0,89.7
0,89.62
0,89.55
0,89.47
0,89.4
0,89.33
0,89.25
0,89.18
0,89.1
0,89.03
0,88.95
0,88.88
0,88.81
0,88.73
0,88.66
0,88.58
0,88.51
0,88.44
0,88.36
0,88.29
0,88.21
0,88.14
0,88.07
0,87.99
0,87.92
0,87.84
0,87.77
0,87.69
0,87.62
0,87.55
0,87.47
0,87.4
0,87.32
0,87.25
0,87.18
0,87.1
0,87.03
0,86.95
0,86.88
0,86.81
0,86.73
0,86.66
0,86.58
0,86.51
0,86.43
0,86.36
0,86.29
0,86.21
0,86.14
0,86.06
0,85.99
0,85.92
0,85.84
0,85.77
0,85.69
0,85.62
0,85.54
0,85.47
0,85.4
0,85.32
0,85.25
0,85.17
0,85.1
0,85.03
0,84.95
0,84.88
0,84.8
0,84.73
0,84.66
0,84.58
0,84.51
0,84.43
0,84.36
0,84.28
0,84.21
0,84.14
0,84.06
0,83.99
0,83.91
0,83.84
0,83.77
0,83.69
0,83.62
0,83.54
0,83.47
0,83.4
0,83.32
0,83.25
0,83.17
0,83.1
0,83.02
0,82.95
0,82.88
0,82.8
0,82.73
0,82.65
0,82.58
0,82.51
0,82.43
0,82.36
0,82.28
0,82.21
0,82.13
0,82.06
0,81.99
0,81.91
0,81.84
0,81.76
0,81.69
0,81.62
0,81.54
0,81.47
0,81.39
0,81.32
0,81.25
0,81.17
0,81.1
0,81.02
0,80.95
0,80.87
0,80.8
0,80.73
0,80.65
0,80.58
0,80.5
0,80.43
0,80.36
0,80.28
0,80.21
0,80.13
0,80.06
0,79.99
0,79.91
0,79.84
0,79.76
0,79.69
0,79.61
0,79.54
0,79.47
0,79.39
0,79.32
0,79.24
0,79.17
0,79.1
0,79.02
0,78.95
0,78.87
0,78.8
0,78.72
0,78.65
0,78.58
0,78.5
0,78.43
0,78.35
0,78.28
0,78.21
0,78.13
0,78.06
0,77.98
0,77.91
0,77.84
0,77.76
0,77.69
0,77.61
0,77.54
0,77.46
0,77.39
0,77.32
0,77.24
0,77.17
0,77.09
0,77.02
0,76.95
0,76.87
0,76.8
0,76.72
0,76.65
0,76.58
0,76.5
0,76.43
0,76.35
0,76.28
0,76.2
0,76.13
0,76.06
0,75.98
0,75.91
0,75.83
0,75.76
0,75.69
0,75.61
0,75.54
0,75.46
0,75.39
0,75.32
0,75.24
0,75.17
0,75.09
0,75.02
0,74.94
0,74.87
0,74.8
0,74.72
0,74.65
0,74.57
0,74.5
0,74.43
0,74.35
0,74.28
0,74.2
0,74.13
0,74.05
0,73.98
0,73.91
0,73.83
0,73.76
0,73.68
0,73.61
0,73.54
0,73.46
0,73.39
0,73.31
0,73.24
0,73.17
0,73.09
0,73.02
0,72.94
0,72.87
0,72.79
0,72.72
0,72.65
0,72.57
0,72.5
0,72.42
0,72.35
0,72.28
0,72.2
0,72.13
0,72.05
0,71.98
0,71.91
0,71.83
0,71.76
0,71.68
0,71.61
0,71.53
0,71.46
0,71.39
0,71.31
0,71.24
0,71.16
0,71.09
0,71.02
0,70.94
0,70.87
0,70.79
0,70.72
0,70.64
0,70.57
0,70.5
0,70.42
0,70.35
0,70.27
0,70.2
0,70.13
0,70.05
0,69.98
0,69.9
0,69.83
0,69.76
0,69.68
0,69.61
0,69.53
0,69.46
0,69.38
0,69.31
0,69.24
0,69.16
0,69.09
0,69.01
0,68.94
0,68.87
0,68.79
0,68.72
0,68.64
0,68.57
0,68.5
0,68.42
0,68.35
0,68.27
0,68.2
0,68.12
0,68.05
0,67.98
0,67.9
0,67.83
0,67.75
0,67.68
0,67.61
0,67.53
0,67.46
0,67.38
0,67.31
0,67.23
0,67.16
0,67.09
0,67.01
0,66.94
0,66.86
0,66.79
0,66.72
0,66.64
0,66.57
0,66.49
0,66.42
0,66.35
0,66.27
0,66.2
0,66.12
0,66.05
0,65.97
0,65.9
0,65.83
0,65.75
0,65.68
0,65.6
0,65.53
0,65.46
0,65.38
0,65.31
0,65.23
0,65.16
0,65.09
0,65.01
0,64.94
0,64.86
0,64.79
0,64.71
0,64.64
0,64.57
0,64.49
0,64.42
0,64.34
0,64.27
0,64.2
0,64.12
0,64.05
0,63.97
0,63.9
0,63.83
0,63.75
0,63.68
0,63.6
0,63.53
0,63.45
0,63.38
0,63.31
0,63.23
0,63.16
0,63.08
0,63.01
0,62.94
0,62.86
0,62.79
0,62.71
0,62.64
0,62.56
0,62.49
0,62.42
0,62.34
0,62.27
0,62.19
0,62.12
0,62.05
0,61.97
0,61.9
0,61.82
0,61.75
0,61.68
0,61.6
0,61.53
0,61.45
0,61.38
0,61.3
0,61.23
0,61.16
0,61.08
0,61.01
0,60.93
0,60.86
0,60.79
0,60.71
0,60.64
0,60.56
0,60.49
0,60.42
0,60.34
0,60.27
0,60.19
0,60.12
0,60.04
0,59.97
0,59.9
0,59.82
0,59.75
0,59.67
0,59.6
0,59.53
0,59.45
0,59.38
0,59.3
0,59.23
0,59.15
0,59.08
0,59.01
0,58.93
0,58.86
0,58.78
0,58.71
0,58.64
0,58.56
0,58.49
0,58.41
0,58.34
0,58.27
0,58.19
0,58.12
0,58.04
0,57.97
0,57.89
0,57.82
0,57.75
0,57.67
0,57.6
0,57.52
0,57.45
0,57.38
0,57.3
0,57.23
0,57.15
0,57.08
0,57.01
0,56.93
0,56.86
0,56.78
0,56.71
0,56.63
0,56.56
0,56.49
0,56.41
0,56.34
0,56.26
0,56.19
0,56.12
0,56.04
0,55.97
0,55.89
