class_index,intensity
0,100.0
0,99.9
0,99.8
0,99.7
0,99.6
0,99.5
0,99.4
0,99.3
0,99.19
0,99.09
0,98.99
0,98.89
0,98.79
0,98.69
0,98.59
0,98.49
0,98.39
0,98.29
0,98.19
0,98.09
0,97.99
0,97.89
0,97.78
0,97.68
0,97.58
0,97.48
0,97.38
0,97.28
0,97.18
0,97.08
0,96.98
0,96.88
0,96.78
0,96.68
0,96.58
0,96.48
0,96.37
0,96.27
0,96.17
0,96.07
0,95.97
0,95.87
0,95.77
0,95.67
0,95.57
0,95.47
0,95.37
0,95.27
0,95.17
0,95.07
0,94.96
0,94.86
0,94.76
0,94.66
0,94.56
0,94.46
0,94.36
0,94.26
0,94.16
0,94.06
0,93.96
0,93.86
0,93.76
0,93.66
0,93.55
0,93.45
0,93.35
0,93.25
0,93.15
0,93.05
0,92.95
0,92.85
0,92.75
0,92.65
0,92.55
0,92.45
0,92.35
0,92.25
0,92.15
0,92.04
0,91.94
0,91.84
0,91.74
0,91.64
0,91.54
0,91.44
0,91.34
0,91.24
0,91.14
0,91.04
0,90.94
0,90.84
0,90.74
0,90.63
0,90.53
0,90.43
0,90.33
0,90.23
0,90.13
0,90.03
0,89.93
0,89.83
0,89.73
0,89.63
0,89.53
0,89.43
0,89.33
0,89.22
0,89.12
0,89.02
0,88.92
0,88.82
0,88.72
0,88.62
0,88.52
0,88.42
0,88.32
0,88.22
0,88.12
0,88.02
0,87.92
0,87.81
0,87.71
0,87.61
0,87.51
0,87.41
0,87.31
0,87.21
0,87.11
0,87.01
0,86.91
0,86.81
0,86.71
0,86.61
0,86.51
0,86.4
0,86.3
0,86.2
0,86.1
0,86.0
0,85.9
0,85.8
0,85.7
0,85.6
0,85.5
0,85.4
0,85.3
0,85.2
0,85.1
0,84.99
0,84.89
0,84.79
0,84.69
0,84.59
0,84.49
0,84.39
0,84.29
0,84.19
0,84.09
0,83.99
0,83.89
0,83.79
0,83.69
0,83.59
0,83.48
0,83.38
0,83.28
0,83.18
0,83.08
0,82.98
0,82.88
0,82.78
0,82.68
0,82.58
0,82.48
0,82.38
0,82.28
0,82.18
0,82.07
0,81.97
0,81.87
0,81.77
0,81.67
0,81.57
0,81.47
0,81.37
0,81.27
0,81.17
0,81.07
0,80.97
0,80.87
0,80.77
0,80.66
0,80.56
0,80.46
0,80.36
0,80.26
0,80.16
0,80.06
0,79.96
0,79.86
0,79.76
0,79.66
0,79.56
0,79.46
0,79.36
0,79.25
0,79.15
0,79.05
0,78.95
0,78.85
0,78.75
0,78.65
0,78.55
0,78.45
0,78.35
0,78.25
0,78.15
0,78.05
0,77.95
0,77.84
0,77.74
0,77.64
0,77.54
0,77.44
0,77.34
0,77.24
0,77.14
0,77.04
0,76.94
0,76.84
0,76.74
0,76.64
0,76.54
0,76.44
0,76.33
0,76.23
0,76.13
0,76.03
0,75.93
0,75.83
0,75.73
0,75.63
0,75.53
0,75.43
0,75.33
0,75.23
0,75.13
0,75.03
0,74.92
0,74.82
0,74.72
0,74.62
0,74.52
0,74.42
0,74.32
0,74.22
0,74.12
0,74.02
0,73.92
0,73.82
0,73.72
0,73.62
0,73.51
0,73.41
0,73.31
0,73.21
0,73.11
0,73.01
0,72.91
0,72.81
0,72.71
0,72.61
0,72.51
0,72.41
0,72.31
0,72.21
0,72.1
0,72.0
0,71.9
0,71.8
0,71.7
0,71.6
0,71.5
0,71.4
0,71.3
0,71.2
0,71.1
0,71.0
0,70.9
0,70.8
0,70.69
0,70.59
0,70.49
0,70.39
0,70.29
0,70.19
0,70.09
0,69.99
0,69.89
0,69.79
0,69.69
0,69.59
0,69.49
0,69.39
0,69.28
0,69.18
0,69.08
0,68.98
0,68.88
0,68.78
0,68.68
0,68.58
0,68.48
0,68.38
0,68.28
0,68.18
0,68.08
0,67.98
0,67.88
0,67.77
0,67.67
0,67.57
0,67.47
0,67.37
0,67.27
0,67.17
0,67.07
0,66.97
0,66.87
0,66.77
0,66.67
0,66.57
0,66.47
0,66.36
0,66.26
0,66.16
0,66.06
0,65.96
0,65.86
0,65.76
0,65.66
0,65.56
0,65.46
0,65.36
0,65.26
0,65.16
0,65.06
0,64.95
0,64.85
0,64.75
0,64.65
0,64.55
0,64.45
0,64.35
0,64.25
0,64.15
0,64.05
0,63.95
0,63.85
0,63.75
0,63.65
0,63.54
0,63.44
0,63.34
0,63.24
0,63.14
0,63.04
0,62.94
0,62.84
0,62.74
0,62.64
0,62.54
0,62.44
0,62.34
0,62.24
0,62.13
0,62.03
0,61.93
0,61.83
0,61.73
0,61.63
0,61.53
0,61.43
0,61.33
0,61.23
0,61.13
0,61.03
0,60.93
0,60.83
0,60.73
0,60.62
0,60.52
0,60.42
0,60.32
0,60.22
0,60.12
0,60.02
0,59.92
0,59.82
0,59.72
0,59.62
0,59.52
0,59.42
0,59.32
0,59.21
0,59.11
0,59.01
0,58.91
0,58.81
0,58.71
0,58.61
0,58.51
0,58.41
0,58.31
0,58.21
0,58.11
0,58.01
0,57.91
0,57.8
0,57.7
0,57.6
0,57.5
0,57.4
0,57.3
0,57.2
0,57.1
0,57.0
0,56.9
0,56.8
0,56.7
0,56.6
0,56.5
0,56.39
0,56.29
0,56.19
0,56.09
0,55.99
0,55.89
0,55.79
0,55.69
0,55.59
0,55.49
0,55.39
0,55.29
0,55.19
0,55.09
0,54.98
0,54.88
0,54.78
0,54.68
0,54.58
0,54.48
0,54.38
0,54.28
0,54.18
0,54.08
0,53.98
0,53.88
0,53.78
0,53.68
0,53.58
0,53.47
0,53.37
0,53.27
0,53.17
0,53.07
0,52.97
0,52.87
0,52.77
0,52.67
0,52.57
0,52.47
0,52.37
0,52.27
0,52.17
0,52.06
0,51.96
0,51.86
0,51.76
0,51.66
0,51.56
0,51.46
0,51.36
0,51.26
0,51.16
0,51.06
0,50.96
0,50.86
0,50.76
0,50.65
0,50.55
0,50.45
0,50.35
0,50.25
0,50.15
0,50.05
0,49.95
0,49.85
0,49.75
0,49.65
0,49.55
0,49.45
0,49.35
0,49.24
0,49.14
0,49.04
0,48.94
0,48.84
0,48.74
0,48.64
0,48.54
0,48.44
0,48.34
0,48.24
0,48.14
0,48.04
0,47.94
0,47.83
0,47.73
0,47.63
0,47.53
0,47.43
0,47.33
0,47.23
0,47.13
0,47.03
0,46.93
0,46.83
0,46.73
0,46.63
0,46.53
0,46.42
0,46.32
0,46.22
0,46.12
0,46.02
0,45.92
0,45.82
0,45.72
0,45.62
0,45.52
0,45.42
0,45.32
0,45.22
0,45.12
0,45.02
0,44.91
0,44.81
0,44.71
0,44.61
0,44.51
0,44.41
0,44.31
0,44.21
0,44.11
0,44.01
0,43.91
0,43.81
0,43.71
0,43.61
0,43.5
0,43.4
0,43.3
0,43.2
0,43.1
0,43.0
0,42.9
0,42.8
0,42.7
0,42.6
0,42.5
0,42.4
0,42.3
0,42.2
0,42.09
0,41.99
0,41.89
0,41.79
0,41.69
0,41.59
0,41.49
0,41.39
0,41.29
0,41.19
0,41.09
0,40.99
0,40.89
0,40.79
0,40.68
0,40.58
0,40.48
0,40.38
0,40.28
0,40.18
0,40.08
0,39.98
0,39.88
0,39.78
0,39.68
0,39.58
0,39.48
0,39.38
0,39.27
0,39.17
0,39.07
0,38.97
0,38.87
0,38.77
0,38.67
0,38.57
0,38.47
0,38.37
0,38.27
0,38.17
0,38.07
0,37.97
0,37.87
0,37.76
0,37.66
0,37.56
0,37.46
0,37.36
0,37.26
0,37.16
0,37.06
0,36.96
0,36.86
0,36.76
0,36.66
0,36.56
0,36.46
0,36.35
0,36.25
0,36.15
0,36.05
0,35.95
0,35.85
0,35.75
0,35.65
0,35.55
0,35.45
0,35.35
0,35.25
0,35.15
0,35.05
0,34.94
0,34.84
0,34.74
0,34.64
0,34.54
0,34.44
0,34.34
0,34.24
0,34.14
0,34.04
0,33.94
0,33.84
0,33.74
0,33.64
0,33.53
0,33.43
0,33.33
0,33.23
0,33.13
0,33.03
0,32.93
0,32.83
0,32.73
0,32.63
0,32.53
0,32.43
0,32.33
0,32.23
0,32.12
0,32.02
0,31.92
0,31.82
0,31.72
0,31.62
0,31.52
0,31.42
0,31.32
0,31.22
0,31.12
0,31.02
0,30.92
0,30.82
0,30.72
0,30.61
0,30.51
0,30.41
0,30.31
0,30.21
0,30.11
