class_index,cutoff_freq_Hz
5,500.0
5,524.27
5,548.54
5,572.82
5,597.09
5,621.36
5,645.63
5,669.9
5,694.17
5,718.45
5,742.72
5,766.99
5,791.26
5,815.53
5,839.81
5,864.08
5,888.35
5,912.62
5,936.89
5,961.17
5,985.44
5,1009.71
5,1033.98
5,1058.25
5,1082.52
5,1106.8
5,1131.07
5,1155.34
5,1179.61
5,1203.88
5,1228.16
5,1252.43
5,1276.7
5,1300.97
5,1325.24
5,1349.51
5,1373.79
5,1398.06
5,1422.33
5,1446.6
5,1470.87
5,1495.15
5,1519.42
5,1543.69
5,1567.96
5,1592.23
5,1616.5
5,1640.78
5,1665.05
5,1689.32
5,1713.59
5,1737.86
5,1762.14
5,1786.41
5,1810.68
5,1834.95
5,1859.22
5,1883.5
5,1907.77
5,1932.04
5,1956.31
5,1980.58
5,2004.85
5,2029.13
5,2053.4
5,2077.67
5,2101.94
5,2126.21
5,2150.49
5,2174.76
5,2199.03
5,2223.3
5,2247.57
5,2271.84
5,2296.12
5,2320.39
5,2344.66
5,2368.93
5,2393.2
5,2417.48
5,2441.75
5,2466.02
5,2490.29
5,2514.56
5,2538.83
5,2563.11
5,2587.38
5,2611.65
5,2635.92
5,2660.19
5,2684.47
5,2708.74
5,2733.01
5,2757.28
5,2781.55
5,2805.83
5,2830.1
5,2854.37
5,2878.64
5,2902.91
5,2927.18
5,2951.46
5,2975.73
5,3000.0
5,3024.27
5,3048.54
5,3072.82
5,3097.09
5,3121.36
5,3145.63
5,3169.9
5,3194.17
5,3218.45
5,3242.72
5,3266.99
5,3291.26
5,3315.53
5,3339.81
5,3364.08
5,3388.35
5,3412.62
5,3436.89
5,3461.17
5,3485.44
5,3509.71
5,3533.98
5,3558.25
5,3582.52
5,3606.8
5,3631.07
5,3655.34
5,3679.61
5,3703.88
5,3728.16
5,3752.43
5,3776.7
5,3800.97
5,3825.24
5,3849.51
5,3873.79
5,3898.06
5,3922.33
5,3946.6
5,3970.87
5,3995.15
5,4019.42
5,4043.69
5,4067.96
5,4092.23
5,4116.5
5,4140.78
5,4165.05
5,4189.32
5,4213.59
5,4237.86
5,4262.14
5,4286.41
5,4310.68
5,4334.95
5,4359.22
5,4383.5
5,4407.77
5,4432.04
5,4456.31
5,4480.58
5,4504.85
5,4529.13
5,4553.4
5,4577.67
5,4601.94
5,4626.21
5,4650.49
5,4674.76
5,4699.03
5,4723.3
5,4747.57
5,4771.84
5,4796.12
5,4820.39
5,4844.66
5,4868.93
5,4893.2
5,4917.48
5,4941.75
5,4966.02
5,4990.29
5,5014.56
5,5038.83
5,5063.11
5,5087.38
5,5111.65
5,5135.92
5,5160.19
5,5184.47
5,5208.74
5,5233.01
5,5257.28
5,5281.55
5,5305.83
5,5330.1
5,5354.37
5,5378.64
5,5402.91
5,5427.18
5,5451.46
5,5475.73
5,5500.0
5,5524.27
5,5548.54
5,5572.82
5,5597.09
5,5621.36
5,5645.63
5,5669.9
5,5694.17
5,5718.45
5,5742.72
5,5766.99
5,5791.26
5,5815.53
5,5839.81
5,5864.08
5,5888.35
5,5912.62
5,5936.89
5,5961.17
5,5985.44
5,6009.71
5,6033.98
5,6058.25
5,6082.52
5,6106.8
5,6131.07
5,6155.34
5,6179.61
5,6203.88
5,6228.16
5,6252.43
5,6276.7
5,6300.97
5,6325.24
5,6349.51
5,6373.79
5,6398.06
5,6422.33
5,6446.6
5,6470.87
5,6495.15
5,6519.42
5,6543.69
5,6567.96
5,6592.23
5,6616.5
5,6640.78
5,6665.05
5,6689.32
5,6713.59
5,6737.86
5,6762.14
5,6786.41
5,6810.68
5,6834.95
5,6859.22
5,6883.5
5,6907.77
5,6932.04
5,6956.31
5,6980.58
5,7004.85
5,7029.13
5,7053.4
5,7077.67
5,7101.94
5,7126.21
5,7150.49
5,7174.76
5,7199.03
5,7223.3
5,7247.57
5,7271.84
5,7296.12
5,7320.39
5,7344.66
5,7368.93
5,7393.2
5,7417.48
5,7441.75
5,7466.02
5,7490.29
5,7514.56
5,7538.83
5,7563.11
5,7587.38
5,7611.65
5,7635.92
5,7660.19
5,7684.47
5,7708.74
5,7733.01
5,7757.28
5,7781.55
5,7805.83
5,7830.1
5,7854.37
5,7878.64
5,7902.91
5,7927.18
5,7951.46
5,7975.73
5,8000.0
