class_index,cutoff_freq_Hz
1,500.0
1,504.84
1,509.69
1,514.53
1,519.38
1,524.22
1,529.07
1,533.91
1,538.76
1,543.6
1,548.45
1,553.29
1,558.14
1,562.98
1,567.83
1,572.67
1,577.52
1,582.36
1,587.21
1,592.05
1,596.9
1,601.74
1,606.59
1,611.43
1,616.28
1,621.12
1,625.97
1,630.81
1,635.66
1,640.5
1,645.35
1,650.19
1,655.04
1,659.88
1,664.73
1,669.57
1,674.42
1,679.26
1,684.11
1,688.95
1,693.8
1,698.64
1,703.49
1,708.33
1,713.18
1,718.02
1,722.87
1,727.71
1,732.56
1,737.4
1,742.25
1,747.09
1,751.94
1,756.78
1,761.63
1,766.47
1,771.32
1,776.16
1,781.01
1,785.85
1,790.7
1,795.54
1,800.39
1,805.23
1,810.08
1,814.92
1,819.77
1,824.61
1,829.46
1,834.3
1,839.15
1,843.99
1,848.84
1,853.68
1,858.53
1,863.37
1,868.22
1,873.06
1,877.91
1,882.75
1,887.6
1,892.44
1,897.29
1,902.13
1,906.98
1,911.82
1,916.67
1,921.51
1,926.36
1,931.2
1,936.05
1,940.89
1,945.74
1,950.58
1,955.43
1,960.27
1,965.12
1,969.96
1,974.81
1,979.65
1,984.5
1,989.34
1,994.19
1,999.03
1,1003.88
1,1008.72
1,1013.57
1,1018.41
1,1023.26
1,1028.1
1,1032.95
1,1037.79
1,1042.64
1,1047.48
1,1052.33
1,1057.17
1,1062.02
1,1066.86
1,1071.71
1,1076.55
1,1081.4
1,1086.24
1,1091.09
1,1095.93
1,1100.78
1,1105.62
1,1110.47
1,1115.31
1,1120.16
1,1125.0
1,1129.84
1,1134.69
1,1139.53
1,1144.38
1,1149.22
1,1154.07
1,1158.91
1,1163.76
1,1168.6
1,1173.45
1,1178.29
1,1183.14
1,1187.98
1,1192.83
1,1197.67
1,1202.52
1,1207.36
1,1212.21
1,1217.05
1,1221.9
1,1226.74
1,1231.59
1,1236.43
1,1241.28
1,1246.12
1,1250.97
1,1255.81
1,1260.66
1,1265.5
1,1270.35
1,1275.19
1,1280.04
1,1284.88
1,1289.73
1,1294.57
1,1299.42
1,1304.26
1,1309.11
1,1313.95
1,1318.8
1,1323.64
1,1328.49
1,1333.33
1,1338.18
1,1343.02
1,1347.87
1,1352.71
1,1357.56
1,1362.4
1,1367.25
1,1372.09
1,1376.94
1,1381.78
1,1386.63
1,1391.47
1,1396.32
1,1401.16
1,1406.01
1,1410.85
1,1415.7
1,1420.54
1,1425.39
1,1430.23
1,1435.08
1,1439.92
1,1444.77
1,1449.61
1,1454.46
1,1459.3
1,1464.15
1,1468.99
1,1473.84
1,1478.68
1,1483.53
1,1488.37
1,1493.22
1,1498.06
1,1502.91
1,1507.75
1,1512.6
1,1517.44
1,1522.29
1,1527.13
1,1531.98
1,1536.82
1,1541.67
1,1546.51
1,1551.36
1,1556.2
1,1561.05
1,1565.89
1,1570.74
1,1575.58
1,1580.43
1,1585.27
1,1590.12
1,1594.96
1,1599.81
1,1604.65
1,1609.5
1,1614.34
1,1619.19
1,1624.03
1,1628.88
1,1633.72
1,1638.57
1,1643.41
1,1648.26
1,1653.1
1,1657.95
1,1662.79
1,1667.64
1,1672.48
1,1677.33
1,1682.17
1,1687.02
1,1691.86
1,1696.71
1,1701.55
1,1706.4
1,1711.24
1,1716.09
1,1720.93
1,1725.78
1,1730.62
1,1735.47
1,1740.31
1,1745.16
1,1750.0
1,1754.84
1,1759.69
1,1764.53
1,1769.38
1,1774.22
1,1779.07
1,1783.91
1,1788.76
1,1793.6
1,1798.45
1,1803.29
1,1808.14
1,1812.98
1,1817.83
1,1822.67
1,1827.52
1,1832.36
1,1837.21
1,1842.05
1,1846.9
1,1851.74
1,1856.59
1,1861.43
1,1866.28
1,1871.12
1,1875.97
1,1880.81
1,1885.66
1,1890.5
1,1895.35
1,1900.19
1,1905.04
1,1909.88
1,1914.73
1,1919.57
1,1924.42
1,1929.26
1,1934.11
1,1938.95
1,1943.8
1,1948.64
1,1953.49
1,1958.33
1,1963.18
1,1968.02
1,1972.87
1,1977.71
1,1982.56
1,1987.4
1,1992.25
1,1997.09
1,2001.94
1,2006.78
1,2011.63
1,2016.47
1,2021.32
1,2026.16
1,2031.01
1,2035.85
1,2040.7
1,2045.54
1,2050.39
1,2055.23
1,2060.08
1,2064.92
1,2069.77
1,2074.61
1,2079.46
1,2084.3
1,2089.15
1,2093.99
1,2098.84
1,2103.68
1,2108.53
1,2113.37
1,2118.22
1,2123.06
1,2127.91
1,2132.75
1,2137.6
1,2142.44
1,2147.29
1,2152.13
1,2156.98
1,2161.82
1,2166.67
1,2171.51
1,2176.36
1,2181.2
1,2186.05
1,2190.89
1,2195.74
1,2200.58
1,2205.43
1,2210.27
1,2215.12
1,2219.96
1,2224.81
1,2229.65
1,2234.5
1,2239.34
1,2244.19
1,2249.03
1,2253.88
1,2258.72
1,2263.57
1,2268.41
1,2273.26
1,2278.1
1,2282.95
1,2287.79
1,2292.64
1,2297.48
1,2302.33
1,2307.17
1,2312.02
1,2316.86
1,2321.71
1,2326.55
1,2331.4
1,2336.24
1,2341.09
1,2345.93
1,2350.78
1,2355.62
1,2360.47
1,2365.31
1,2370.16
1,2375.0
1,2379.84
1,2384.69
1,2389.53
1,2394.38
1,2399.22
1,2404.07
1,2408.91
1,2413.76
1,2418.6
1,2423.45
1,2428.29
1,2433.14
1,2437.98
1,2442.83
1,2447.67
1,2452.52
1,2457.36
1,2462.21
1,2467.05
1,2471.9
1,2476.74
1,2481.59
1,2486.43
1,2491.28
1,2496.12
1,2500.97
1,2505.81
1,2510.66
1,2515.5
1,2520.35
1,2525.19
1,2530.04
1,2534.88
1,2539.73
1,2544.57
1,2549.42
1,2554.26
1,2559.11
1,2563.95
1,2568.8
1,2573.64
1,2578.49
1,2583.33
1,2588.18
1,2593.02
1,2597.87
1,2602.71
1,2607.56
1,2612.4
1,2617.25
1,2622.09
1,2626.94
1,2631.78
1,2636.63
1,2641.47
1,2646.32
1,2651.16
1,2656.01
1,2660.85
1,2665.7
1,2670.54
1,2675.39
1,2680.23
1,2685.08
1,2689.92
1,2694.77
1,2699.61
1,2704.46
1,2709.3
1,2714.15
1,2718.99
1,2723.84
1,2728.68
1,2733.53
1,2738.37
1,2743.22
1,2748.06
1,2752.91
1,2757.75
1,2762.6
1,2767.44
1,2772.29
1,2777.13
1,2781.98
1,2786.82
1,2791.67
1,2796.51
1,2801.36
1,2806.2
1,2811.05
1,2815.89
1,2820.74
1,2825.58
1,2830.43
1,2835.27
1,2840.12
1,2844.96
1,2849.81
1,2854.65
1,2859.5
1,2864.34
1,2869.19
1,2874.03
1,2878.88
1,2883.72
1,2888.57
1,2893.41
1,2898.26
1,2903.1
1,2907.95
1,2912.79
1,2917.64
1,2922.48
1,2927.33
1,2932.17
1,2937.02
1,2941.86
1,2946.71
1,2951.55
