class_index,cutoff_freq_Hz
7,500.0
7,598.68
7,697.37
7,796.05
7,894.74
7,993.42
7,1092.11
7,1190.79
7,1289.47
7,1388.16
7,1486.84
7,1585.53
7,1684.21
7,1782.89
7,1881.58
7,1980.26
7,2078.95
7,2177.63
7,2276.32
7,2375.0
7,2473.68
7,2572.37
7,2671.05
7,2769.74
7,2868.42
7,2967.11
7,3065.79
7,3164.47
7,3263.16
7,3361.84
7,3460.53
7,3559.21
7,3657.89
7,3756.58
7,3855.26
7,3953.95
7,4052.63
7,4151.32
7,4250.0
7,4348.68
7,4447.37
7,4546.05
7,4644.74
7,4743.42
7,4842.11
7,4940.79
7,5039.47
7,5138.16
7,5236.84
7,5335.53
7,5434.21
7,5532.89
7,5631.58
7,5730.26
7,5828.95
7,5927.63
7,6026.32
7,6125.0
7,6223.68
7,6322.37
7,6421.05
7,6519.74
7,6618.42
7,6717.11
7,6815.79
7,6914.47
7,7013.16
7,7111.84
7,7210.53
7,7309.21
7,7407.89
7,7506.58
7,7605.26
7,7703.95
7,7802.63
7,7901.32
7,8000.0
