class_index,cutoff_freq_Hz
8,500.0
8,527.27
8,554.55
8,581.82
8,609.09
8,636.36
8,663.64
8,690.91
8,718.18
8,745.45
8,772.73
8,800.0
8,827.27
8,854.55
8,881.82
8,909.09
8,936.36
8,963.64
8,990.91
8,1018.18
8,1045.45
8,1072.73
8,1100.0
8,1127.27
8,1154.55
8,1181.82
8,1209.09
8,1236.36
8,1263.64
8,1290.91
8,1318.18
8,1345.45
8,1372.73
8,1400.0
8,1427.27
8,1454.55
8,1481.82
8,1509.09
8,1536.36
8,1563.64
8,1590.91
8,1618.18
8,1645.45
8,1672.73
8,1700.0
8,1727.27
8,1754.55
8,1781.82
8,1809.09
8,1836.36
8,1863.64
8,1890.91
8,1918.18
8,1945.45
8,1972.73
8,2000.0
8,2027.27
8,2054.55
8,2081.82
8,2109.09
8,2136.36
8,2163.64
8,2190.91
8,2218.18
8,2245.45
8,2272.73
8,2300.0
8,2327.27
8,2354.55
8,2381.82
8,2409.09
8,2436.36
8,2463.64
8,2490.91
8,2518.18
8,2545.45
8,2572.73
8,2600.0
8,2627.27
8,2654.55
8,2681.82
8,2709.09
8,2736.36
8,2763.64
8,2790.91
8,2818.18
8,2845.45
8,2872.73
8,2900.0
8,2927.27
8,2954.55
8,2981.82
8,3009.09
8,3036.36
8,3063.64
8,3090.91
8,3118.18
8,3145.45
8,3172.73
8,3200.0
8,3227.27
8,3254.55
8,3281.82
8,3309.09
8,3336.36
8,3363.64
8,3390.91
8,3418.18
8,3445.45
8,3472.73
8,3500.0
8,3527.27
8,3554.55
8,3581.82
8,3609.09
8,3636.36
8,3663.64
8,3690.91
8,3718.18
8,3745.45
8,3772.73
8,3800.0
8,3827.27
8,3854.55
8,3881.82
8,3909.09
8,3936.36
8,3963.64
8,3990.91
8,4018.18
8,4045.45
8,4072.73
8,4100.0
8,4127.27
8,4154.55
8,4181.82
8,4209.09
8,4236.36
8,4263.64
8,4290.91
8,4318.18
8,4345.45
8,4372.73
8,4400.0
8,4427.27
8,4454.55
8,4481.82
8,4509.09
8,4536.36
8,4563.64
8,4590.91
8,4618.18
8,4645.45
8,4672.73
8,4700.0
8,4727.27
8,4754.55
8,4781.82
8,4809.09
8,4836.36
8,4863.64
8,4890.91
8,4918.18
8,4945.45
8,4972.73
8,5000.0
8,5027.27
8,5054.55
8,5081.82
8,5109.09
8,5136.36
8,5163.64
8,5190.91
8,5218.18
8,5245.45
8,5272.73
8,5300.0
8,5327.27
8,5354.55
8,5381.82
8,5409.09
8,5436.36
8,5463.64
8,5490.91
8,5518.18
8,5545.45
8,5572.73
8,5600.0
8,5627.27
8,5654.55
8,5681.82
8,5709.09
8,5736.36
8,5763.64
8,5790.91
8,5818.18
8,5845.45
8,5872.73
8,5900.0
8,5927.27
8,5954.55
8,5981.82
8,6009.09
8,6036.36
8,6063.64
8,6090.91
8,6118.18
8,6145.45
8,6172.73
8,6200.0
8,6227.27
8,6254.55
8,6281.82
8,6309.09
8,6336.36
8,6363.64
8,6390.91
8,6418.18
8,6445.45
8,6472.73
8,6500.0
8,6527.27
8,6554.55
8,6581.82
8,6609.09
8,6636.36
8,6663.64
8,6690.91
8,6718.18
8,6745.45
8,6772.73
8,6800.0
8,6827.27
8,6854.55
8,6881.82
8,6909.09
8,6936.36
8,6963.64
8,6990.91
8,7018.18
8,7045.45
8,7072.73
8,7100.0
8,7127.27
8,7154.55
8,7181.82
8,7209.09
8,7236.36
8,7263.64
8,7290.91
8,7318.18
8,7345.45
8,7372.73
8,7400.0
8,7427.27
8,7454.55
8,7481.82
8,7509.09
8,7536.36
8,7563.64
8,7590.91
8,7618.18
8,7645.45
8,7672.73
8,7700.0
8,7727.27
8,7754.55
8,7781.82
8,7809.09
8,7836.36
8,7863.64
8,7890.91
8,7918.18
8,7945.45
8,7972.73
8,8000.0
