class_index,cutoff_freq_Hz
10,500.0
10,509.99
10,519.97
10,529.96
10,539.95
10,549.93
10,559.92
10,569.91
10,579.89
10,589.88
10,599.87
10,609.85
10,619.84
10,629.83
10,639.81
10,649.8
10,659.79
10,669.77
10,679.76
10,689.75
10,699.73
10,709.72
10,719.71
10,729.69
10,739.68
10,749.67
10,759.65
10,769.64
10,779.63
10,789.61
10,799.6
10,809.59
10,819.57
10,829.56
10,839.55
10,849.53
10,859.52
10,869.51
10,879.49
10,889.48
10,899.47
10,909.45
10,919.44
10,929.43
10,939.41
10,949.4
10,959.39
10,969.37
10,979.36
10,989.35
10,999.33
10,1009.32
10,1019.31
10,1029.29
10,1039.28
10,1049.27
10,1059.25
10,1069.24
10,1079.23
10,1089.21
10,1099.2
10,1109.19
10,1119.17
10,1129.16
10,1139.15
10,1149.13
10,1159.12
10,1169.11
10,1179.09
10,1189.08
10,1199.07
10,1209.05
10,1219.04
10,1229.03
10,1239.01
10,1249.0
10,1258.99
10,1268.97
10,1278.96
10,1288.95
10,1298.93
10,1308.92
10,1318.91
10,1328.89
10,1338.88
10,1348.87
10,1358.85
10,1368.84
10,1378.83
10,1388.81
10,1398.8
10,1408.79
10,1418.77
10,1428.76
10,1438.75
10,1448.74
10,1458.72
10,1468.71
10,1478.7
10,1488.68
10,1498.67
10,1508.66
10,1518.64
10,1528.63
10,1538.62
10,1548.6
10,1558.59
10,1568.58
10,1578.56
10,1588.55
10,1598.54
10,1608.52
10,1618.51
10,1628.5
10,1638.48
10,1648.47
10,1658.46
10,1668.44
10,1678.43
10,1688.42
10,1698.4
10,1708.39
10,1718.38
10,1728.36
10,1738.35
10,1748.34
10,1758.32
10,1768.31
10,1778.3
10,1788.28
10,1798.27
10,1808.26
10,1818.24
10,1828.23
10,1838.22
10,1848.2
10,1858.19
10,1868.18
10,1878.16
10,1888.15
10,1898.14
10,1908.12
10,1918.11
10,1928.1
10,1938.08
10,1948.07
10,1958.06
10,1968.04
10,1978.03
10,1988.02
10,1998.0
10,2007.99
10,2017.98
10,2027.96
10,2037.95
10,2047.94
10,2057.92
10,2067.91
10,2077.9
10,2087.88
10,2097.87
10,2107.86
10,2117.84
10,2127.83
10,2137.82
10,2147.8
10,2157.79
10,2167.78
10,2177.76
10,2187.75
10,2197.74
10,2207.72
10,2217.71
10,2227.7
10,2237.68
10,2247.67
10,2257.66
10,2267.64
10,2277.63
10,2287.62
10,2297.6
10,2307.59
10,2317.58
10,2327.56
10,2337.55
10,2347.54
10,2357.52
10,2367.51
10,2377.5
10,2387.48
10,2397.47
10,2407.46
10,2417.44
10,2427.43
10,2437.42
10,2447.4
10,2457.39
10,2467.38
10,2477.36
10,2487.35
10,2497.34
10,2507.32
10,2517.31
10,2527.3
10,2537.28
10,2547.27
10,2557.26
10,2567.24
10,2577.23
10,2587.22
10,2597.2
10,2607.19
10,2617.18
10,2627.16
10,2637.15
10,2647.14
10,2657.12
10,2667.11
10,2677.1
10,2687.08
10,2697.07
10,2707.06
10,2717.04
10,2727.03
10,2737.02
10,2747.0
10,2756.99
10,2766.98
10,2776.96
10,2786.95
10,2796.94
10,2806.92
10,2816.91
10,2826.9
10,2836.88
10,2846.87
10,2856.86
10,2866.84
10,2876.83
10,2886.82
10,2896.8
10,2906.79
10,2916.78
10,2926.76
10,2936.75
10,2946.74
10,2956.72
10,2966.71
10,2976.7
10,2986.68
10,2996.67
10,3006.66
10,3016.64
10,3026.63
10,3036.62
10,3046.6
10,3056.59
10,3066.58
10,3076.56
10,3086.55
10,3096.54
10,3106.52
10,3116.51
10,3126.5
10,3136.48
10,3146.47
10,3156.46
10,3166.44
10,3176.43
10,3186.42
10,3196.4
10,3206.39
10,3216.38
10,3226.36
10,3236.35
10,3246.34
10,3256.32
10,3266.31
10,3276.3
10,3286.28
10,3296.27
10,3306.26
10,3316.25
10,3326.23
10,3336.22
10,3346.21
10,3356.19
10,3366.18
10,3376.17
10,3386.15
10,3396.14
10,3406.13
10,3416.11
10,3426.1
10,3436.09
10,3446.07
10,3456.06
10,3466.05
10,3476.03
10,3486.02
10,3496.01
10,3505.99
10,3515.98
10,3525.97
10,3535.95
10,3545.94
10,3555.93
10,3565.91
10,3575.9
10,3585.89
10,3595.87
10,3605.86
10,3615.85
10,3625.83
10,3635.82
10,3645.81
10,3655.79
10,3665.78
10,3675.77
10,3685.75
10,3695.74
10,3705.73
10,3715.71
10,3725.7
10,3735.69
10,3745.67
10,3755.66
10,3765.65
10,3775.63
10,3785.62
10,3795.61
10,3805.59
10,3815.58
10,3825.57
10,3835.55
10,3845.54
10,3855.53
10,3865.51
10,3875.5
10,3885.49
10,3895.47
10,3905.46
10,3915.45
10,3925.43
10,3935.42
10,3945.41
10,3955.39
10,3965.38
10,3975.37
10,3985.35
10,3995.34
10,4005.33
10,4015.31
10,4025.3
10,4035.29
10,4045.27
10,4055.26
10,4065.25
10,4075.23
10,4085.22
10,4095.21
10,4105.19
10,4115.18
10,4125.17
10,4135.15
10,4145.14
10,4155.13
10,4165.11
10,4175.1
10,4185.09
10,4195.07
10,4205.06
10,4215.05
10,4225.03
10,4235.02
10,4245.01
10,4254.99
10,4264.98
10,4274.97
10,4284.95
10,4294.94
10,4304.93
10,4314.91
10,4324.9
10,4334.89
10,4344.87
10,4354.86
10,4364.85
10,4374.83
10,4384.82
10,4394.81
10,4404.79
10,4414.78
10,4424.77
10,4434.75
10,4444.74
10,4454.73
10,4464.71
10,4474.7
10,4484.69
10,4494.67
10,4504.66
10,4514.65
10,4524.63
10,4534.62
10,4544.61
10,4554.59
10,4564.58
10,4574.57
10,4584.55
10,4594.54
10,4604.53
10,4614.51
10,4624.5
10,4634.49
10,4644.47
10,4654.46
10,4664.45
10,4674.43
10,4684.42
10,4694.41
10,4704.39
10,4714.38
10,4724.37
10,4734.35
10,4744.34
10,4754.33
10,4764.31
