class_index,intensity
2,100.0
2,99.84
2,99.69
2,99.53
2,99.37
2,99.22
2,99.06
2,98.9
2,98.74
2,98.59
2,98.43
2,98.27
2,98.12
2,97.96
2,97.8
2,97.65
2,97.49
2,97.33
2,97.17
2,97.02
2,96.86
2,96.7
2,96.55
2,96.39
2,96.23
2,96.08
2,95.92
2,95.76
2,95.6
2,95.45
2,95.29
2,95.13
2,94.98
2,94.82
2,94.66
2,94.51
2,94.35
2,94.19
2,94.03
2,93.88
2,93.72
2,93.56
2,93.41
2,93.25
2,93.09
2,92.94
2,92.78
2,92.62
2,92.46
2,92.31
2,92.15
2,91.99
2,91.84
2,91.68
2,91.52
2,91.37
2,91.21
2,91.05
2,90.89
2,90.74
2,90.58
2,90.42
2,90.27
2,90.11
2,89.95
2,89.8
2,89.64
2,89.48
2,89.32
2,89.17
2,89.01
2,88.85
2,88.7
2,88.54
2,88.38
2,88.23
2,88.07
2,87.91
2,87.76
2,87.6
2,87.44
2,87.28
2,87.13
2,86.97
2,86.81
2,86.66
2,86.5
2,86.34
2,86.19
2,86.03
2,85.87
2,85.71
2,85.56
2,85.4
2,85.24
2,85.09
2,84.93
2,84.77
2,84.62
2,84.46
2,84.3
2,84.14
2,83.99
2,83.83
2,83.67
2,83.52
2,83.36
2,83.2
2,83.05
2,82.89
2,82.73
2,82.57
2,82.42
2,82.26
2,82.1
2,81.95
2,81.79
2,81.63
2,81.48
2,81.32
2,81.16
2,81.0
2,80.85
2,80.69
2,80.53
2,80.38
2,80.22
2,80.06
2,79.91
2,79.75
2,79.59
2,79.43
2,79.28
2,79.12
2,78.96
2,78.81
2,78.65
2,78.49
2,78.34
2,78.18
2,78.02
2,77.86
2,77.71
2,77.55
2,77.39
2,77.24
2,77.08
2,76.92
2,76.77
2,76.61
2,76.45
2,76.3
2,76.14
2,75.98
2,75.82
2,75.67
2,75.51
2,75.35
2,75.2
2,75.04
2,74.88
2,74.73
2,74.57
2,74.41
2,74.25
2,74.1
2,73.94
2,73.78
2,73.63
2,73.47
2,73.31
2,73.16
2,73.0
2,72.84
2,72.68
2,72.53
2,72.37
2,72.21
2,72.06
2,71.9
2,71.74
2,71.59
2,71.43
2,71.27
2,71.11
2,70.96
2,70.8
2,70.64
2,70.49
2,70.33
2,70.17
2,70.02
2,69.86
2,69.7
2,69.54
2,69.39
2,69.23
2,69.07
2,68.92
2,68.76
2,68.6
2,68.45
2,68.29
2,68.13
2,67.97
2,67.82
2,67.66
2,67.5
2,67.35
2,67.19
2,67.03
2,66.88
2,66.72
2,66.56
2,66.41
2,66.25
2,66.09
2,65.93
2,65.78
2,65.62
2,65.46
2,65.31
2,65.15
2,64.99
2,64.84
2,64.68
2,64.52
2,64.36
2,64.21
2,64.05
2,63.89
2,63.74
2,63.58
2,63.42
2,63.27
2,63.11
2,62.95
2,62.79
2,62.64
2,62.48
2,62.32
2,62.17
2,62.01
2,61.85
2,61.7
2,61.54
2,61.38
2,61.22
2,61.07
2,60.91
2,60.75
2,60.6
2,60.44
2,60.28
2,60.13
2,59.97
2,59.81
2,59.65
2,59.5
2,59.34
2,59.18
2,59.03
2,58.87
2,58.71
2,58.56
2,58.4
2,58.24
2,58.08
2,57.93
2,57.77
2,57.61
2,57.46
2,57.3
2,57.14
2,56.99
2,56.83
2,56.67
2,56.51
2,56.36
2,56.2
2,56.04
2,55.89
2,55.73
2,55.57
2,55.42
2,55.26
2,55.1
2,54.95
2,54.79
2,54.63
2,54.47
