class_index,intensity
2,100.0
2,99.76
2,99.51
2,99.27
2,99.03
2,98.78
2,98.54
2,98.3
2,98.05
2,97.81
2,97.57
2,97.32
2,97.08
2,96.84
2,96.59
2,96.35
2,96.11
2,95.86
2,95.62
2,95.38
2,95.13
2,94.89
2,94.65
2,94.4
2,94.16
2,93.92
2,93.67
2,93.43
2,93.19
2,92.94
2,92.7
2,92.46
2,92.21
2,91.97
2,91.73
2,91.48
2,91.24
2,91.0
2,90.75
2,90.51
2,90.27
2,90.02
2,89.78
2,89.54
2,89.29
2,89.05
2,88.81
2,88.56
2,88.32
2,88.08
2,87.83
2,87.59
2,87.35
2,87.1
2,86.86
2,86.62
2,86.37
2,86.13
2,85.89
2,85.64
2,85.4
2,85.16
2,84.91
2,84.67
2,84.43
2,84.18
2,83.94
2,83.7
2,83.45
2,83.21
2,82.97
2,82.73
2,82.48
2,82.24
2,82.0
2,81.75
2,81.51
2,81.27
2,81.02
2,80.78
2,80.54
2,80.29
2,80.05
2,79.81
2,79.56
2,79.32
2,79.08
2,78.83
2,78.59
2,78.35
2,78.1
2,77.86
2,77.62
2,77.37
2,77.13
2,76.89
2,76.64
2,76.4
2,76.16
2,75.91
2,75.67
2,75.43
2,75.18
2,74.94
2,74.7
2,74.45
2,74.21
2,73.97
2,73.72
2,73.48
2,73.24
2,72.99
2,72.75
2,72.51
2,72.26
2,72.02
2,71.78
2,71.53
2,71.29
2,71.05
2,70.8
2,70.56
2,70.32
2,70.07
2,69.83
2,69.59
2,69.34
2,69.1
2,68.86
2,68.61
2,68.37
2,68.13
2,67.88
2,67.64
2,67.4
2,67.15
2,66.91
2,66.67
2,66.42
2,66.18
2,65.94
2,65.69
2,65.45
2,65.21
2,64.96
2,64.72
2,64.48
2,64.23
2,63.99
2,63.75
2,63.5
2,63.26
2,63.02
2,62.77
2,62.53
2,62.29
2,62.04
2,61.8
2,61.56
2,61.31
2,61.07
2,60.83
2,60.58
2,60.34
2,60.1
2,59.85
2,59.61
2,59.37
2,59.12
2,58.88
2,58.64
2,58.39
2,58.15
2,57.91
2,57.66
2,57.42
2,57.18
2,56.93
2,56.69
2,56.45
2,56.2
2,55.96
2,55.72
2,55.47
2,55.23
2,54.99
2,54.74
2,54.5
2,54.26
2,54.01
2,53.77
2,53.53
2,53.28
2,53.04
2,52.8
2,52.55
2,52.31
2,52.07
2,51.82
2,51.58
2,51.34
2,51.09
2,50.85
2,50.61
2,50.36
2,50.12
2,49.88
2,49.64
2,49.39
2,49.15
2,48.91
2,48.66
2,48.42
2,48.18
2,47.93
2,47.69
2,47.45
2,47.2
2,46.96
2,46.72
2,46.47
2,46.23
2,45.99
2,45.74
2,45.5
2,45.26
2,45.01
2,44.77
2,44.53
2,44.28
2,44.04
2,43.8
2,43.55
2,43.31
2,43.07
2,42.82
2,42.58
2,42.34
2,42.09
2,41.85
2,41.61
2,41.36
2,41.12
2,40.88
2,40.63
2,40.39
2,40.15
2,39.9
2,39.66
2,39.42
2,39.17
2,38.93
2,38.69
2,38.44
2,38.2
2,37.96
2,37.71
2,37.47
2,37.23
2,36.98
2,36.74
2,36.5
2,36.25
2,36.01
2,35.77
2,35.52
2,35.28
2,35.04
2,34.79
2,34.55
2,34.31
2,34.06
2,33.82
2,33.58
2,33.33
2,33.09
2,32.85
2,32.6
2,32.36
2,32.12
2,31.87
2,31.63
2,31.39
2,31.14
2,30.9
2,30.66
2,30.41
2,30.17
2,29.93
2,29.68
2,29.44
2,29.2
2,28.95
2,28.71
2,28.47
2,28.22
2,27.98
2,27.74
2,27.49
2,27.25
2,27.01
2,26.76
2,26.52
2,26.28
2,26.03
2,25.79
2,25.55
2,25.3
2,25.06
2,24.82
2,24.57
2,24.33
2,24.09
2,23.84
2,23.6
2,23.36
2,23.11
2,22.87
2,22.63
2,22.38
2,22.14
2,21.9
2,21.65
2,21.41
2,21.17
2,20.92
2,20.68
2,20.44
2,20.19
2,19.95
2,19.71
2,19.46
2,19.22
2,18.98
2,18.73
2,18.49
2,18.25
2,18.0
2,17.76
2,17.52
2,17.27
2,17.03
2,16.79
2,16.55
2,16.3
2,16.06
2,15.82
2,15.57
2,15.33
2,15.09
2,14.84
2,14.6
2,14.36
2,14.11
2,13.87
2,13.63
2,13.38
2,13.14
2,12.9
2,12.65
2,12.41
2,12.17
2,11.92
2,11.68
2,11.44
2,11.19
2,10.95
2,10.71
2,10.46
2,10.22
2,9.98
2,9.73
2,9.49
2,9.25
2,9.0
2,8.76
2,8.52
2,8.27
2,8.03
2,7.79
2,7.54
2,7.3
2,7.06
2,6.81
2,6.57
2,6.33
2,6.08
2,5.84
2,5.6
2,5.35
2,5.11
2,4.87
2,4.62
2,4.38
2,4.14
2,3.89
2,3.65
2,3.41
2,3.16
2,2.92
2,2.68
2,2.43
2,2.19
2,1.95
2,1.7
2,1.46
2,1.22
2,0.97
2,0.73
2,0.49
2,0.24
2,0.0
