class_index,cutoff_freq_Hz
15,500.0
15,516.56
15,533.11
15,549.67
15,566.23
15,582.78
15,599.34
15,615.89
15,632.45
15,649.01
15,665.56
15,682.12
15,698.68
15,715.23
15,731.79
15,748.34
15,764.9
15,781.46
15,798.01
15,814.57
15,831.13
15,847.68
15,864.24
15,880.79
15,897.35
15,913.91
15,930.46
15,947.02
15,963.58
15,980.13
15,996.69
15,1013.25
15,1029.8
15,1046.36
15,1062.91
15,1079.47
15,1096.03
15,1112.58
15,1129.14
15,1145.7
15,1162.25
15,1178.81
15,1195.36
15,1211.92
15,1228.48
15,1245.03
15,1261.59
15,1278.15
15,1294.7
15,1311.26
15,1327.81
15,1344.37
15,1360.93
15,1377.48
15,1394.04
15,1410.6
15,1427.15
15,1443.71
15,1460.26
15,1476.82
15,1493.38
15,1509.93
15,1526.49
15,1543.05
15,1559.6
15,1576.16
15,1592.72
15,1609.27
15,1625.83
15,1642.38
15,1658.94
15,1675.5
15,1692.05
15,1708.61
15,1725.17
15,1741.72
15,1758.28
15,1774.83
15,1791.39
15,1807.95
15,1824.5
15,1841.06
15,1857.62
15,1874.17
15,1890.73
15,1907.28
15,1923.84
15,1940.4
15,1956.95
15,1973.51
15,1990.07
15,2006.62
15,2023.18
15,2039.74
15,2056.29
15,2072.85
15,2089.4
15,2105.96
15,2122.52
15,2139.07
15,2155.63
15,2172.19
15,2188.74
15,2205.3
15,2221.85
15,2238.41
15,2254.97
15,2271.52
15,2288.08
15,2304.64
15,2321.19
15,2337.75
15,2354.3
15,2370.86
15,2387.42
15,2403.97
15,2420.53
15,2437.09
15,2453.64
15,2470.2
15,2486.75
15,2503.31
15,2519.87
15,2536.42
15,2552.98
15,2569.54
15,2586.09
15,2602.65
15,2619.21
15,2635.76
15,2652.32
15,2668.87
15,2685.43
15,2701.99
15,2718.54
15,2735.1
15,2751.66
15,2768.21
15,2784.77
15,2801.32
15,2817.88
15,2834.44
15,2850.99
15,2867.55
15,2884.11
15,2900.66
15,2917.22
15,2933.77
15,2950.33
15,2966.89
15,2983.44
15,3000.0
15,3016.56
15,3033.11
15,3049.67
15,3066.23
15,3082.78
15,3099.34
15,3115.89
15,3132.45
15,3149.01
15,3165.56
15,3182.12
15,3198.68
15,3215.23
15,3231.79
15,3248.34
15,3264.9
15,3281.46
15,3298.01
15,3314.57
15,3331.13
15,3347.68
15,3364.24
15,3380.79
15,3397.35
15,3413.91
15,3430.46
15,3447.02
15,3463.58
15,3480.13
15,3496.69
15,3513.25
15,3529.8
15,3546.36
15,3562.91
15,3579.47
15,3596.03
15,3612.58
15,3629.14
15,3645.7
15,3662.25
15,3678.81
15,3695.36
15,3711.92
15,3728.48
15,3745.03
15,3761.59
15,3778.15
15,3794.7
15,3811.26
15,3827.81
15,3844.37
15,3860.93
15,3877.48
15,3894.04
15,3910.6
15,3927.15
15,3943.71
15,3960.26
15,3976.82
15,3993.38
15,4009.93
15,4026.49
15,4043.05
15,4059.6
15,4076.16
15,4092.72
15,4109.27
15,4125.83
15,4142.38
15,4158.94
15,4175.5
15,4192.05
15,4208.61
15,4225.17
15,4241.72
15,4258.28
15,4274.83
15,4291.39
15,4307.95
15,4324.5
15,4341.06
15,4357.62
15,4374.17
15,4390.73
15,4407.28
15,4423.84
15,4440.4
15,4456.95
15,4473.51
15,4490.07
15,4506.62
15,4523.18
15,4539.74
15,4556.29
15,4572.85
15,4589.4
15,4605.96
15,4622.52
15,4639.07
15,4655.63
15,4672.19
15,4688.74
15,4705.3
15,4721.85
15,4738.41
15,4754.97
15,4771.52
15,4788.08
15,4804.64
15,4821.19
